FuelType,Year,Energy_PJ
Black coal,1984,2826.6
Brown coal,1984,316.5
Oil and LPG,1984,1075.6
Natural gas,1984,490
Renewables,1984,202.5
Black coal,1985,3203.5
Brown coal,1985,369.2
Oil and LPG,1985,1247.8
Natural gas,1985,523.3
Renewables,1985,215
Black coal,1986,3596.7
Brown coal,1986,350.1
Oil and LPG,1986,1280.5
Natural gas,1986,570.7
Renewables,1986,217.3
Black coal,1987,3955.1
Brown coal,1987,405
Oil and LPG,1987,1269.7
Natural gas,1987,588.4
Renewables,1987,216.9
Black coal,1988,3610.5
Brown coal,1988,424.9
Oil and LPG,1988,1260.9
Natural gas,1988,610.5
Renewables,1988,220.8
Black coal,1989,3951.4
Brown coal,1989,474.8
Oil and LPG,1989,1145.1
Natural gas,1989,627.8
Renewables,1989,231.1
Black coal,1990,4234
Brown coal,1990,450.7
Oil and LPG,1990,1284.1
Natural gas,1990,797.3
Renewables,1990,235.3
Black coal,1991,4396
Brown coal,1991,484.1
Oil and LPG,1991,1276.3
Natural gas,1991,840.4
Renewables,1991,238.7
Black coal,1992,4680.1
Brown coal,1992,497.3
Oil and LPG,1992,1253.5
Natural gas,1992,932.1
Renewables,1992,224.5
Black coal,1993,4778
Brown coal,1993,466.8
Oil and LPG,1993,1236.1
Natural gas,1993,978.1
Renewables,1993,246.5
Black coal,1994,4786.6
Brown coal,1994,474.2
Oil and LPG,1994,1171.1
Natural gas,1994,1064.9
Renewables,1994,255.4
Black coal,1995,5173.2
Brown coal,1995,492
Oil and LPG,1995,1249.6
Natural gas,1995,1174.9
Renewables,1995,262.2
Black coal,1996,5232
Brown coal,1996,514.4
Oil and LPG,1996,1216
Natural gas,1996,1204.1
Renewables,1996,271.9
Black coal,1997,5580
Brown coal,1997,559.1
Oil and LPG,1997,1249.2
Natural gas,1997,1225.7
Renewables,1997,284.9
Black coal,1998,5980
Brown coal,1998,636.5
Oil and LPG,1998,1374.2
Natural gas,1998,1275.5
Renewables,1998,283.4
Black coal,1999,5993.9
Brown coal,1999,669
Oil and LPG,1999,1135.7
Natural gas,1999,1332.6
Renewables,1999,282.7
Black coal,2000,6375.8
Brown coal,2000,670.3
Oil and LPG,2000,1501.9
Natural gas,2000,1316.5
Renewables,2000,266.6
Black coal,2001,6882.6
Brown coal,2001,666
Oil and LPG,2001,1539.6
Natural gas,2001,1374.8
Renewables,2001,266.3
Black coal,2002,7282.3
Brown coal,2002,669.5
Oil and LPG,2002,1457.9
Natural gas,2002,1388.9
Renewables,2002,256.9
Black coal,2003,7287.3
Brown coal,2003,731.9
Oil and LPG,2003,1359.2
Natural gas,2003,1435.6
Renewables,2003,276.5
Black coal,2004,7535.2
Brown coal,2004,726.6
Oil and LPG,2004,1156.7
Natural gas,2004,1438.7
Renewables,2004,279.1
Black coal,2005,8054.8
Brown coal,2005,737.3
Oil and LPG,2005,1063.7
Natural gas,2005,1611.1
Renewables,2005,280.2
Black coal,2006,8141.3
Brown coal,2006,744.7
Oil and LPG,2006,984.1
Natural gas,2006,1671.2
Renewables,2006,284.5
Black coal,2007,8631.9
Brown coal,2007,728.2
Oil and LPG,2007,1154
Natural gas,2007,1772.5
Renewables,2007,288.3
Black coal,2008,8651.1
Brown coal,2008,732.4
Oil and LPG,2008,1064.4
Natural gas,2008,1845.2
Renewables,2008,286.4
Black coal,2009,9008.9
Brown coal,2009,751.9
Oil and LPG,2009,1134.2
Natural gas,2009,1935.6
Renewables,2009,239.9
Black coal,2010,9759.3
Brown coal,2010,759.4
Oil and LPG,2010,1090.4
Natural gas,2010,2062.1
Renewables,2010,282.6
Black coal,2011,9244.4
Brown coal,2011,736.9
Oil and LPG,2011,1036.8
Natural gas,2011,2270.3
Renewables,2011,294.6
Black coal,2012,9885.3
Brown coal,2012,744.6
Oil and LPG,2012,976.3
Natural gas,2012,2155.1
Renewables,2012,293.8
Black coal,2013,10901.5
Brown coal,2013,644.8
Oil and LPG,2013,867.6
Natural gas,2013,2464.1
Renewables,2013,333.5
Black coal,2014,11841.6
Brown coal,2014,626
Oil and LPG,2014,835.6
Natural gas,2014,2534.5
Renewables,2014,344.2
Black coal,2015,12195.7
Brown coal,2015,697.4
Oil and LPG,2015,785.5
Natural gas,2015,2659.3
Renewables,2015,347.7
Black coal,2016,12101.5
Brown coal,2016,624.6
Oil and LPG,2016,753.9
Natural gas,2016,3352.5
Renewables,2016,360.2
Black coal,2017,12161.8
Brown coal,2017,584.2
Oil and LPG,2017,669.6
Natural gas,2017,3996.9
Renewables,2017,379.1
Black coal,2018,12370.1
Brown coal,2018,473.3
Oil and LPG,2018,645.3
Natural gas,2018,4565.3
Renewables,2018,382.5
Black coal,2019,12593.7
Brown coal,2019,444.4
Oil and LPG,2019,782.3
Natural gas,2019,5504.7
Renewables,2019,400.2
Black coal,2020,12316.8
Brown coal,2020,425.4
Oil and LPG,2020,959.7
Natural gas,2020,5937
Renewables,2020,418.8
Black coal,2021,11359.6
Brown coal,2021,430
Oil and LPG,2021,864.9
Natural gas,2021,5730.3
Renewables,2021,464.6
Black coal,2022,11215.7
Brown coal,2022,415.7
Oil and LPG,2022,891.2
Natural gas,2022,6149.5
Renewables,2022,512.1
Black coal,2023,11084.4
Brown coal,2023,400.9
Oil and LPG,2023,771.4
Natural gas,2023,6198.6
Renewables,2023,551.7
Black coal,2024,11398.4
Brown coal,2024,416.4
Oil and LPG,2024,738.5
Natural gas,2024,6122
Renewables,2024,557.1
