Source,Year,Energy_PJ
Hydro,2000,16720
Wind,2000,58
Solar,2000,43.5
Bioenergy,2000,1134
Hydro,2001,16933
Wind,2001,210
Solar,2001,50
Bioenergy,2001,645
Hydro,2002,16054
Wind,2002,364
Solar,2002,58.3
Bioenergy,2002,950
Hydro,2003,16490
Wind,2003,703.1
Solar,2003,58.3
Bioenergy,2003,1583.6
Hydro,2004,16331.1
Wind,2004,705
Solar,2004,68.1
Bioenergy,2004,1799.5
Hydro,2005,15612.2
Wind,2005,885
Solar,2005,77.8
Bioenergy,2005,3830
Hydro,2006,16029.2
Wind,2006,1713.1
Solar,2006,90.3
Bioenergy,2006,3911
Hydro,2007,14517
Wind,2007,2611.1
Solar,2007,104.7
Bioenergy,2007,3953
Hydro,2008,12056.9
Wind,2008,3093.1
Solar,2008,122.8
Bioenergy,2008,4596
Hydro,2009,11869.4
Wind,2009,3823.8
Solar,2009,155.6
Bioenergy,2009,2795.2
Hydro,2010,13548.7
Wind,2010,5051.7
Solar,2010,424.8
Bioenergy,2010,2777.4
Hydro,2011,16806.7
Wind,2011,6084.9
Solar,2011,1530.5
Bioenergy,2011,2101.7
Hydro,2012,14083.3
Wind,2012,6969.8
Solar,2012,2558.6
Bioenergy,2012,3043.7
Hydro,2013,18269.6
Wind,2013,7959.6
Solar,2013,3826.2
Bioenergy,2013,3143.5
Hydro,2014,18420.9
Wind,2014,10251.9
Solar,2014,4416
Bioenergy,2014,3499.4
Hydro,2015,13445
Wind,2015,11466.5
Solar,2015,5531.3
Bioenergy,2015,3592.2
Hydro,2016,15318.2
Wind,2016,12199.5
Solar,2016,6838.3
Bioenergy,2016,3789.9
Hydro,2017,16284.9
Wind,2017,12597
Solar,2017,8071.7
Bioenergy,2017,3500.5
Hydro,2018,16020.8
Wind,2018,15174.4
Solar,2018,9929.9
Bioenergy,2018,3517.7
Hydro,2019,15967.3
Wind,2019,17712
Solar,2019,14848.5
Bioenergy,2019,3495.9
Hydro,2020,15149.6
Wind,2020,20395.9
Solar,2020,21033.2
Bioenergy,2020,3351.6
Hydro,2021,15199.7
Wind,2021,24535.4
Solar,2021,27717
Bioenergy,2021,3346.2
Hydro,2022,17010.9
Wind,2022,29107.8
Solar,2022,34686.6
Bioenergy,2022,3190.3
Hydro,2023,16666.1
Wind,2023,31384.9
Solar,2023,41441.8
Bioenergy,2023,3096
Hydro,2024,14960.1
Wind,2024,30992
Solar,2024,48600.3
Bioenergy,2024,3301.9
